void_id,cx_mpc,cy_mpc,cz_mpc,R_void_mpc,n_members
2,102.194,115.954,8.141,7.952442419739842,3
3,76.03974000000001,22.417080000000002,3.055211,12.621445178295115,3
5,111.4049,123.1335,23.48116,7.08880885516118,2
8,126.5162,87.48855,115.4171,6.9411367925635,2
9,64.42371,23.077650000000002,98.9711,13.813474792212887,4
11,53.761269999999996,108.11789999999999,101.3119,9.282651412393816,3
14,183.3586,103.93539999999999,183.4306,7.071506025217424,2
21,172.7312,94.07723,17.901139999999998,8.177078332235885,3
24,203.5866,105.9531,72.1304,9.11149914795571,3
26,65.98830000000001,123.04639999999999,192.8868,6.705339039302858,2
27,81.88832000000001,159.6704,193.5616,8.05386747400258,3
28,42.56467,1.671558,196.009,8.995312426898428,3
29,95.11102000000001,197.0718,196.1534,13.149369999999994,1
31,55.41052,191.8682,54.79916,10.56793502849332,3
32,65.77544999999999,159.9435,187.89020000000002,9.98224719700828,2
35,149.4989,131.0725,93.78184,9.32906871126749,3
37,167.1018,0.9736776,78.26122,12.202719795734778,4
39,168.169,40.01292,146.1289,8.101136532877053,3
41,81.48679,177.7498,148.214,13.33039540088145,4
42,110.6871,168.2332,201.4101,14.221359999999994,1
45,155.3171,69.66317,7.859899,11.995441947894031,4
46,167.858,156.7939,11.34412,9.071497260440271,3
55,75.93908,190.4675,15.1085,7.923033114091606,2
56,14.59226,192.7959,179.0895,8.119642641749149,2
57,44.14357,113.4192,45.72715,11.149620206386876,3
58,44.02264,178.40810000000002,48.098589999999994,7.75998057879695,2
61,49.165690000000005,71.55472999999999,110.75689999999999,14.61630999999999,1
63,6.385917,56.689339999999994,195.4423,6.914236293460268,2
65,76.68405,94.63208999999999,196.45929999999998,6.851329643428013,2
67,55.78617,108.3866,29.88771,10.965512476743495,2
68,6.231208,90.98367999999999,91.51285,16.222267455239535,4
71,149.98229999999998,104.51610000000001,66.79211,8.9535094990153,2
72,86.66363,12.8816,128.539,10.40086839961197,2
75,135.94910000000002,162.0891,134.0895,10.367623604630925,2
76,73.77248,29.33715,154.6334,8.066781916359615,2
84,40.93612,173.58270000000002,161.2155,9.090547604387295,2
86,161.1001,191.94029999999998,116.0744,7.988093681841551,2
87,7.872676,111.9909,120.81160000000001,14.701566344998563,5
93,142.7477,70.7837,35.80767,12.518405784957087,4
98,130.0581,97.07989,17.93369,6.63891825825673,2
102,81.41618,20.76272,50.96732,10.541676488881434,2
106,152.249,178.2825,39.3209,7.8386742016716955,2
107,89.11877,104.8814,40.82865,12.301806729678232,3
108,156.3886,162.97310000000002,53.17882,10.433463762153053,2
109,135.8159,183.55429999999998,54.639900000000004,11.758216682054817,4
111,180.3056,202.5041,29.727310000000003,13.906609999999993,1
112,22.72679,103.7507,30.59989,15.642761139782252,5
114,113.4941,104.431,66.98315,13.957689999999992,1
117,117.00739999999999,149.2053,150.8294,11.317442914715478,3
122,54.88387,193.5557,11.63942,10.638941163134056,3
124,13.722209999999999,141.75070000000002,162.1713,13.636888192350627,4
125,115.051,115.4854,98.28075,14.867555341833132,3
131,189.1474,189.2194,135.8074,6.785867923943892,2
136,97.29733999999999,156.5203,174.4785,12.293143132420917,3
137,163.98510000000002,119.8118,49.87223,7.104044966088382,2
140,83.60548,87.812,112.00789999999999,13.431437925790432,4
142,161.35979999999998,54.02034,188.8925,13.144343972642227,4
143,22.0239,149.3133,189.6933,10.736347814088335,3
145,173.1449,30.74793,94.20548,6.997952716726644,2
146,72.70152,53.07414,94.92177000000001,9.769658613257247,2
147,196.7217,203.33,65.55878999999999,12.808858548146477,3
150,41.63337,88.28934,150.6514,7.880395709307959,2
151,95.03148,17.790080000000003,151.9331,9.258028410931045,3
153,39.68144,131.36929999999998,202.167,11.853418625734323,3
156,94.94416,88.54392999999999,86.98034,12.650886152905956,5
157,57.091699999999996,66.87937,1.128043,7.937896088983821,3
159,38.530660000000005,178.9615,22.37723,10.926191833080486,3
160,48.49003,5.646625,23.592830000000003,9.070093855452612,2
164,193.392,53.74686,99.51659,8.008103546523643,2
169,54.58316000000001,92.90200999999999,36.04547,7.023301328763286,2
170,75.50729,74.34459,60.64146,8.179676343355133,2
173,24.91756,190.8459,49.13014,12.047068172069302,3
175,102.8331,15.57963,109.0108,7.1483415710521925,2
176,86.12722,189.2726,109.1832,13.818749999999993,1
178,12.77802,59.25302,114.3638,13.989711252698667,4
179,132.0415,140.8944,115.0445,13.280249999999993,1
180,156.5052,128.30110000000002,40.12142,7.790358211161335,2
182,160.45479999999998,145.17239999999998,44.746370000000006,13.349456361475886,4
184,16.111909999999998,48.66083999999999,53.11007,15.870313033134929,4
185,22.46049,193.539,92.27305,9.648339766785126,2
189,78.01005,131.99429999999998,130.6091,16.777975558144277,6
190,82.07206,164.13989999999998,81.66234,8.084429973206879,3
192,156.5985,35.542559999999995,150.5554,7.7943279007153485,2
196,5.138962,132.79510000000002,0.08173605,11.421120608643596,3
198,128.357,63.24076,24.813029999999998,7.903497777935002,3
199,70.42280000000001,122.4275,162.3775,10.021321261799601,3
200,197.8936,176.6809,162.6412,15.139068083488413,5
202,132.4275,50.68021,120.8206,10.006129514976209,3
203,145.4891,21.44368,100.7808,11.23810803337928,3
205,1.161991,144.7964,62.93595,13.792619999999994,1
206,107.4345,41.547019999999996,176.2703,8.157670699074297,3
211,71.57445,169.41479999999999,51.42021,6.796884235374128,2
213,163.4894,199.4059,56.865790000000004,14.704150578909255,5
217,59.86764,141.07739999999998,92.35776,9.420724549360889,3
219,188.80929999999998,29.323529999999998,66.68863,9.24898551868206,3
222,113.2444,81.54512,133.81220000000002,10.649649713843134,2
227,6.9539290000000005,85.50619,158.437,9.069541486417318,3
230,156.76979999999998,86.81415,200.2088,9.665599332593214,2
231,38.56754,85.69498,201.80720000000002,12.01690625395193,3
235,154.7269,157.2714,172.682,7.90606309627153,3
242,168.2939,35.94155,124.2195,8.025735055993115,2
244,182.39479999999998,159.6852,108.119,8.025308945412341,3
245,60.19343,99.29972000000001,138.3591,12.301439410321498,4
246,135.4751,44.59658,35.195519999999995,6.721528747672931,2
247,121.75739999999999,10.16006,35.41759,14.393332177397165,3
252,89.35907,89.95314,17.39493,12.51348892645749,3
253,188.4885,97.34444,173.139,6.8935090788053195,2
254,69.2284,32.68703,43.7172,9.293181622329339,3
255,72.9928,106.3298,192.4448,9.157760767145035,3
256,66.27195,196.9686,195.4601,14.578869999999991,1
263,51.24142,196.9835,30.61367,8.27318788090241,3
278,99.12183999999999,46.940709999999996,115.5363,10.185263037109666,3
280,45.32789,203.5077,100.55789999999999,6.983790080077169,2
284,68.57449000000001,77.90073,175.5264,11.410967309537934,3
286,139.0075,92.35548,74.2504,13.174275112330037,5
291,83.24677,48.04208,115.16460000000001,8.178134547352224,2
293,41.77047,146.4494,193.0867,7.11430827744902,2
295,36.02658,116.1046,197.977,9.309216054334634,3
298,34.56843,32.034099999999995,29.452840000000002,16.877059999999993,1
299,189.7392,156.8611,78.29546,7.995029625992366,2
302,165.3221,152.0034,150.2211,14.76812999999999,1
303,93.85447,139.5709,151.823,9.110482512925824,3
307,192.8046,86.01487,5.964544,9.685804727271455,2
308,131.075,200.0179,23.105,7.971416581172751,2
309,125.7555,178.4214,23.715529999999998,11.452025340648039,4
312,39.14182,27.6851,166.29420000000002,7.784456895813674,2
315,165.1948,176.04379999999998,121.5008,11.294927392556856,3
316,59.285830000000004,114.87360000000001,124.7379,8.904133161998754,2
319,36.97898,71.02236,36.79708,15.716977397717745,4
320,96.3276,71.14147,61.44225,10.962102307039212,3
322,101.5083,191.5266,17.88511,13.893979999999992,1
323,113.6235,6.363152,173.5015,13.142469999999992,1
324,101.0788,179.36079999999998,173.0231,13.966709907430884,3
327,152.187,62.21084,70.65196,9.890826999716248,3
329,125.6262,126.1812,42.17307,15.52239999999999,1
335,2.047728,136.441,188.1922,10.801588755819225,4
337,105.5102,156.1287,31.29995,11.691957815408918,4
338,60.839040000000004,49.48231,67.31734,12.48492071897634,3
339,66.37742,77.63268,83.0132,9.711780440580345,2
342,135.7357,123.4148,88.30566,9.024505858134276,2
349,94.13456,80.11928,181.3467,11.307146640402811,3
353,116.1047,131.3194,107.4887,9.23708096496681,3
355,88.1791,180.563,60.814730000000004,8.145904808291139,3
357,45.46082,154.0813,15.57392,12.75972571752579,4
361,27.033669999999997,132.1053,108.9757,7.923362278941354,2
362,62.28225,164.22660000000002,112.5975,9.077604283081062,3
365,56.093300000000006,169.5155,53.835550000000005,8.375229471915297,3
367,158.376,36.90235,64.55066000000001,15.394280335438989,5
368,75.71676,116.3585,67.99791,10.861819381339835,3
371,200.9184,97.64303,158.1551,7.991089812017996,3
373,138.0983,53.049980000000005,145.0721,9.190541962406463,2
375,102.1576,30.435869999999998,168.3845,10.159303818737698,3
377,47.076519999999995,13.03507,7.636607,10.187084043942885,3
380,28.15738,4.816073,115.3228,15.745070205645382,5
385,36.47831,92.93178,135.7022,11.017727828144567,2
387,110.95139999999999,85.17102,36.312110000000004,17.985957671128684,5
390,133.7585,146.104,173.5855,14.293983947055944,6
398,119.01039999999999,108.747,25.75819,9.808084447122289,2
399,98.3032,109.68339999999999,89.75698,6.675667838119129,2
402,86.95673,62.72658,154.3285,14.418749999999992,1
404,113.8223,55.84193,144.648,14.550939999999994,1
405,151.5797,8.787635,152.938,10.92232287159526,3
