void_id,sample,RA,Dec,z_void,R_void_mpc,M_annulus_1e14,N_in_annulus,V_annulus_mpc3,rho_annulus,rho_mean_bin,delta
15935,CMASS North,230.976,13.239,0.459,38.683,129.21149057421636,40,13578039.869301593,9.516210868282164e-06,6.64238378624601e-06,0.4326499603932578
4407,CMASS North,237.406,16.985,0.463,63.467,324.8336416426397,120,59968135.634858824,5.41677072671603e-06,6.64238378624601e-06,-0.18451403878044265
20571,CMASS North,235.861,56.008,0.457,56.705,125.88821572397198,47,42770142.8364326,2.943366736122693e-06,6.64238378624601e-06,-0.5568809585773488
13976,CMASS North,131.182,28.707,0.498,29.199,55.593556705780536,15,5839565.990652689,9.520152147397317e-06,6.64238378624601e-06,0.433243313508944
2571,CMASS North,138.792,2.233,0.52,64.052,272.46071776607613,68,61641716.14318077,4.420070283786503e-06,1.85319635923684e-06,1.3851062850170506
4535,CMASS North,228.21,20.057,0.591,63.679,55.79196751829536,9,60571083.22932697,9.210990549246495e-07,1.85319635923684e-06,-0.5029673729210407
1267,CMASS North,154.54,-0.619,0.459,40.98,61.02641070313893,25,16143306.725223765,3.780291841186771e-06,6.64238378624601e-06,-0.43088325474140815
11862,CMASS North,176.75,5.126,0.586,80.243,117.03848097080414,26,121198740.71559054,9.65674067896885e-07,1.85319635923684e-06,-0.47891432924325583
5455,CMASS North,206.313,0.163,0.64,89.801,46.3811139335717,8,169871356.54505298,2.7303669598512085e-07,1.85319635923684e-06,-0.8526671528226186
1005,CMASS North,125.041,38.447,0.46,54.079,196.98367976063588,65,37099033.2896262,5.309671500678087e-06,6.64238378624601e-06,-0.20063765185135665
6886,CMASS North,251.844,21.969,0.495,84.756,370.52264167950227,109,142819659.459748,2.5943392042881155e-06,6.64238378624601e-06,-0.6094264818512806
4669,CMASS North,195.568,0.33,0.482,39.445,71.3105957665848,21,14396354.009139229,4.953378870880414e-06,6.64238378624601e-06,-0.2542769237247204
6677,CMASS North,255.014,24.193,0.479,27.477,18.634169232325682,6,4866139.753417878,3.829353486865521e-06,6.64238378624601e-06,-0.4234971043385454
2619,CMASS North,160.558,-0.643,0.467,46.066,110.092962617824,36,22930744.011332966,4.801107306566817e-06,6.64238378624601e-06,-0.2772011583389407
21634,CMASS North,192.072,54.127,0.46,73.064,441.4646854103119,145,91492810.84916273,4.825129770448536e-06,6.64238378624601e-06,-0.27358461574598475
9173,CMASS North,212.982,39.695,0.487,50.79,117.9013550307767,33,30733447.15804233,3.83625547842017e-06,6.64238378624601e-06,-0.42245802081420275
17290,CMASS North,144.126,28.605,0.572,73.406,186.72675529399373,38,92783620.36432102,2.0124969747979093e-06,1.85319635923684e-06,0.08595992257758935
11581,CMASS North,240.589,5.557,0.454,33.12,19.671090643604803,9,8522119.518014949,2.30823923579363e-06,6.64238378624601e-06,-0.6524983635282918
4859,CMASS North,208.529,0.347,0.578,63.044,100.15173188000959,14,58777067.892857485,1.7039252802227636e-06,1.85319635923684e-06,-0.08054790215298467
21371,CMASS North,163.626,49.028,0.459,58.772,421.50225018716986,122,47619852.52368075,8.851397638780215e-06,6.64238378624601e-06,0.33256341753517454
17711,CMASS North,223.573,20.632,0.512,54.131,95.24089136531121,25,37206154.64791224,2.5598155000588188e-06,1.85319635923684e-06,0.381297501098572
15117,CMASS North,178.867,12.927,0.459,44.445,129.81337488851884,43,20594220.952531062,6.303388469402848e-06,6.64238378624601e-06,-0.051035189737922024
12812,CMASS North,256.34,31.79,0.496,55.864,92.41086269431774,27,40895236.43579343,2.259697479421721e-06,6.64238378624601e-06,-0.6598062454474939
6729,CMASS North,250.69,20.509,0.549,62.158,48.53579456584964,12,56333629.44159506,8.61577623294626e-07,1.85319635923684e-06,-0.5350856270571187
2591,CMASS North,132.522,2.263,0.583,63.848,27.90957945654525,6,61054619.598507844,4.571247784373609e-07,1.85319635923684e-06,-0.7533317092066767
4395,CMASS North,238.258,20.882,0.595,91.328,150.516763291154,28,178685156.80623844,8.423573954403526e-07,1.85319635923684e-06,-0.5454570201145649
13669,CMASS North,133.778,46.359,0.583,60.554,57.81267896869898,10,52084097.812626764,1.109987143805022e-06,1.85319635923684e-06,-0.4010418063512045
